comment_id,video_id,category,category_label,text,like_count,published_at,vader_compound,textblob_polarity,textblob_subjectivity,afinn_score,afinn_normalized,sent_neg_score,lex_tfidf_sum,lex_tfidf_max,lex_unique_terms,lex_top_terms,lex_sadness,lex_anxiety,lex_negative_emotion,lex_health,lex_hopelessness,lex_exhaustion,lex_numbness,lex_suicidal,self_disclosure_flag,self_disclosure_score,self_disclosure_reason,word_count,lexical_diversity,depression_signal_score
UgySAyP1NAucwa-C0VN4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,What do you think causes depression?,2308,2022-10-28T17:01:38Z,-0.5719,0.0,0.0,0.0,0.0,0.1634,1.0,1.0,1,depression,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,6,1.0,0.33268
Ugzw_XUPNY_SIOBgi_t4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,It&#39;s hits when your family and friends calls you lazy when u are struggling with your mental health 🙂,9186,2022-12-06T11:55:23Z,0.1298,-0.175,0.6,-3.0,-0.1667,0.1833,1.0,1.0,1,mental health,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,18,0.8889,0.33665999999999996
UgwMBXgHwE0jnJGxKux4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"As a person with depression, I can confirm that most of this is true. If you happen to notice anyone acting like this,  just be nice to them. It will brobably mean the world to them.",3512,2022-12-06T06:30:27Z,0.5267,0.2275,0.5675,7.0,0.1944,0.0811,1.0,1.0,1,depression,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8,PRON-subj + depression,36,0.8889,0.7162200000000001
Ugw7aoFcHLuHxXi0dDt4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"for me, depression feels like you are the only sad person in the world. it feels like no one understands you. it feels like the glass isn’t half full, or half empty, its cracked. it feels like nothing matters except those who would be saddened with you gone. it feels like everyone else’s wellbeing matters more than yours. it feels like fictional characters are your only friends, your only support. it makes clouds beautiful because they seem larger than your problems. it feels like only drawings and music understand you. it feels like no matter how much you try to help, you only hurt. it makes the light hurt your eyes. it makes you scared to love again because of a mistake that happened a whole person ago.<br><br>it feels like nothing at all and everything bad at the same time.",2390,2022-12-04T01:31:19Z,0.6759,0.0683,0.6162,11.0,0.0759,0.088,2.1022,0.7148,5,hurt;empty;scared;sad;depression,0.609,0.3797,0.7148,0.0,0.0,0.0,0.3987,0.0,1,0.7,PRON + depression,145,0.5931,0.6676
UgzTL4M2-WghannB0E54AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I literally broke down crying watching this... I&#39;ve been feeling worthless, useless, ugly, unlovable for the last 14 years... Thank you for the video.",551,2024-02-23T20:26:04Z,-0.9393,-0.3926,0.5093,-9.0,-0.3913,0.5651,1.7142,0.6439,3,useless;worthless;crying,0.4556,0.0,0.0,0.0,1.2585,0.0,0.0,0.0,1,1.0,PRON-subj + cry,23,0.913,0.9130199999999999
UgyKQZDfYT28bGk8An54AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I describe it as…emptiness. A cold darkness over your mind. Not the calm quiet darkness. One that is screaming with life about how you’re an awful person. It feels like a weight on your ankles in the middle of the ocean, not a extremely heavy one but one that keeps you bobbing at the surface. You’ll be breathing fine one moment only to get hit with a wave another. It feels like you’re alone even when you’re surrounded by people.<br><br>That’s how I described it to my therapist anyways.",1023,2022-10-28T17:03:35Z,0.1076,-0.0979,0.6354,-2.0,-0.0206,0.1246,1.9645,0.6292,4,emptiness;therapist;awful;alone,0.3643,0.0,0.4841,0.4869,0.0,0.0,0.6292,0.0,1,1.0,PRON-subj + emptiness,97,0.6907,0.82492
UgxO4IE0OLG77uH-ACB4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,When you are not afraid to die. But you can&#39;t even die. <br>Also living feels like a punishment. 😊❤️‍🔥💔🙂,996,2023-11-24T16:18:04Z,0.9464,0.3,0.9,-6.0,-0.3158,0.2188,1.0,1.0,1,afraid,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,19,0.8947,0.34376
UgyRDShyhl8iytMjnIF4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"One more thing: you tend to procrastinate a lot. Due to constantly being tired and unmotivated, you will find it a little relaxed by procrastinating.",1136,2022-12-10T06:32:00Z,-0.3384,-0.0425,0.4817,-2.0,-0.08,0.2005,1.0,1.0,1,tired,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,,25,0.88,0.3401
UgyzFpWcmDK--ZRLZH14AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"Upon waking up my first thought every single day is &quot;Ffs here we go again&quot;. Yes, even on the weekends. <a href=""https://www.youtube.com/watch?v=Ii53BtHLnGk&amp;t=40"">0:40</a>",42,2025-07-30T17:51:49Z,-0.2732,0.0893,0.2738,1.0,0.0455,0.1172,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,22,1.0,0.023440000000000003
Ugzsqna90qD4t2LcUYZ4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"The worst thing to feel like a child,  <br>&quot; Why me? &quot;<br>It&#39;s like everyone else is luckier, Everyone else has a better life, better parents, more freedom.",1057,2024-01-01T20:28:59Z,0.92,0.125,0.625,7.0,0.25,0.0893,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,28,0.7857,0.01786
